StudentIDE,MA1E,MA2E,MA3E,MA4E,MA5E,MA6E,MA7E,MA8E,QANX1E,QANX2E,QANX3E,QANX4E,QINFL1E,QINFL2E,QINFL3E,QINFL4E,QINFL5E,QINFL6E,QINFL7E,QSF1E,QSF2E,QSF3E,QSF4E,QHIND1E,QHIND2E,QHIND3E,QHIND4E,QHIND5E,QSC1E,QSC2E,QSC3E,QSC4E,QSE1E,QSE2E,QSE3E,QSE4E,QSE5E,QSE6E,SPSS1E,SPSS2E,SPSS3E,SPSS4E,SPSS5E,SPSS6E,SPSS7E,SPSS8E,SPSS9E,SPSS10E
90,3,4,3,2,4,2,3,2,3,3,4,2,1,1,1,2,2,3,3,5,5,5,5,4,3,4,4,5,4,3,1,3,1,3,3,2,2,2,4,4,4,4,3,2,3,3,3,4
91,4,2,2,3,3,1,3,2,4,3,3,3,3,4,4,4,4,4,4,5,5,5,5,2,2,1,2,3,3,2,2,3,4,3,3,4,3,3,4,2,2,4,4,4,4,4,4,2
92,4,1,1,4,4,3,2,3,4,3,1,3,2,1,1,3,4,3,4,3,4,2,2,1,1,1,1,3,3,1,2,3,4,2,4,4,4,3,3,3,2,2,3,4,2,3,3,2
93,3,2,2,3,3,1,4,2,4,3,4,3,4,3,3,2,3,2,4,4,4,3,3,2,3,2,2,3,3,3,5,4,2,4,4,5,4,3,4,2,2,4,3,3,2,4,3,3
94,5,2,2,5,5,1,4,5,1,1,1,1,1,3,3,5,5,5,5,5,5,5,3,2,1,1,1,1,4,1,1,5,5,5,5,5,5,5,4,2,2,4,4,4,5,4,4,4
95,3,4,4,2,4,2,3,2,4,3,2,2,1,3,3,5,5,5,5,4,4,4,3,3,3,2,2,1,3,4,3,3,4,4,4,4,4,3,3,2,3,4,4,4,4,4,4,2
96,4,2,3,4,3,2,2,2,3,3,2,2,1,1,1,4,3,4,3,5,5,3,5,3,3,2,4,3,3,2,4,4,5,4,4,5,4,4,4,2,2,4,4,2,4,4,4,2
97,3,4,3,3,2,4,5,2,3,2,2,4,1,2,1,2,5,3,3,4,4,4,2,1,4,4,4,2,3,1,2,3,2,4,4,4,3,3,4,2,2,4,5,4,3,3,4,2
98,2,5,1,1,2,3,5,1,5,4,4,3,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,2,3,4,3,3,3,3,3,3,2,2,3,2,2,3,4,5,5,4,3,4
99,3,3,3,3,4,2,2,2,3,2,2,2,1,2,1,5,3,2,2,5,5,3,3,1,2,2,2,1,3,2,1,3,1,4,4,3,4,4,4,4,1,4,3,3,4,4,4,1
100,1,5,3,1,1,3,3,4,3,1,1,3,5,3,3,3,3,5,5,5,5,5,3,3,4,3,3,4,2,5,2,3,3,5,3,3,3,3,5,5,3,5,5,5,5,5,5,5
101,4,2,2,4,1,2,4,1,2,2,1,1,1,3,1,2,4,2,5,4,4,1,1,1,1,1,1,3,4,1,1,5,4,5,4,3,4,3,4,1,2,4,5,5,5,4,4,2
102,4,2,3,4,4,3,3,3,3,3,3,3,1,1,1,3,2,2,1,4,4,4,4,4,2,4,2,4,4,2,3,3,1,3,4,1,3,3,5,1,1,4,4,4,4,5,5,2
103,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,4,4,4,4,4
104,4,4,4,2,4,4,4,4,4,5,3,4,4,3,3,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,4,4,4,5,4,4,,3,3,3,4,3,3,3,4,3
105,5,1,1,5,5,1,1,5,1,1,1,1,3,5,5,2,5,3,4,5,5,2,2,1,1,1,1,1,5,1,1,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1
106,5,1,5,4,2,2,5,2,1,1,1,2,1,1,1,4,4,3,4,5,5,5,5,1,1,1,1,4,2,1,1,4,4,4,3,3,4,4,3,2,3,4,4,4,2,3,3,3
107,5,1,1,5,5,1,4,2,5,3,3,3,1,2,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,3,1,5,3,4,4,5,4,4,5,1,1,5,5,5,3,5,5,1
108,3,2,4,4,2,3,4,1,3,4,2,4,1,2,2,4,3,1,4,5,5,5,3,4,4,4,4,2,2,3,4,3,3,4,4,3,4,4,4,2,2,3,5,3,2,3,3,3
109,4,1,2,4,3,2,3,2,1,1,1,1,1,2,2,3,3,3,3,5,5,5,4,1,1,1,1,1,4,1,1,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,3
110,3,3,3,4,5,1,5,2,4,4,4,4,3,2,2,4,2,1,4,5,5,4,5,4,4,3,4,3,2,3,4,2,4,3,3,4,4,4,5,2,5,4,5,5,3,4,4,2
111,2,2,4,2,4,1,4,2,2,3,2,2,1,1,1,2,4,1,4,4,4,1,1,2,2,3,2,3,4,2,2,4,5,5,2,4,4,4,3,2,2,3,4,5,5,4,3,2
112,3,2,3,3,4,2,3,1,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,4,2,3,4,2,3,3,3,3,3,4,2,2,4,4,5,4,4,4,2
113,3,3,3,3,3,4,4,3,1,3,3,3,4,4,4,3,3,4,4,3,3,4,4,3,3,3,3,3,4,4,3,3,4,4,3,3,3,3,5,5,5,4,2,1,4,2,3,3
114,5,2,3,5,5,2,3,3,3,2,2,3,2,3,4,4,4,3,4,4,4,4,4,3,3,2,3,4,3,2,2,3,3,4,3,4,4,4,4,4,2,4,4,4,2,4,4,4
115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,5,2,3,3,4,3,2,3
116,2,4,4,2,2,2,4,2,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,4,1,2,3,4,4,4,3,4,2,2,4,4,3,2,4,4,2
117,3,3,3,4,4,2,2,4,2,2,2,2,3,2,2,3,3,3,3,4,4,4,4,3,2,2,3,3,4,2,2,4,3,3,4,4,4,4,3,3,4,3,4,5,3,4,3,2
118,3,3,4,3,3,2,4,3,3,3,3,2,5,3,3,3,2,4,3,3,2,4,3,3,3,3,2,3,4,2,3,3,3,4,2,5,3,3,3,4,2,3,3,4,2,3,3,3
119,4,2,2,4,3,2,3,2,2,4,3,2,1,2,2,4,4,2,3,4,4,3,2,3,4,3,4,3,4,2,3,3,2,4,4,1,3,4,4,2,2,4,3,3,2,3,4,2
120,3,2,4,3,4,1,4,2,3,3,4,3,3,4,3,2,2,4,4,5,4,2,1,2,3,1,2,1,3,3,4,2,3,4,5,5,4,3,3,2,2,4,4,2,3,3,3,2
121,1,5,3,2,3,3,1,1,5,5,5,5,2,2,2,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,3,3,3,2,2,4,2,4,2,3
122,2,5,5,1,2,2,5,2,4,5,4,4,2,2,2,2,4,2,2,5,5,5,5,3,2,2,2,1,2,3,3,2,1,2,3,3,4,4,2,4,4,2,2,4,2,2,2,2
123,1,5,2,1,4,1,4,2,4,4,3,3,1,1,1,5,3,4,4,5,5,5,5,1,3,1,1,5,2,5,4,1,3,4,5,2,3,4,4,4,5,4,5,4,4,5,4,5
124,2,4,2,4,3,3,3,3,2,2,3,3,2,3,3,2,3,2,2,3,2,4,5,4,2,2,3,,3,2,3,2,3,2,3,1,1,5,3,5,5,3,4,5,5,4,3,5
125,2,5,5,1,1,3,5,1,3,3,4,4,1,3,3,4,3,1,3,5,5,5,5,3,4,3,4,3,3,4,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
126,2,4,4,2,1,2,4,2,5,3,3,3,2,2,1,5,4,4,2,5,5,4,4,3,2,1,3,4,3,3,2,2,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3
127,4,3,3,4,5,1,3,1,4,2,2,2,4,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,3,4,2,3,3,4,4,3,4,3,2,4,4,3,3,2,2,2,2,3
128,4,1,3,4,4,2,3,3,2,2,2,2,1,1,1,1,1,3,3,4,4,4,3,1,2,1,1,1,1,1,1,3,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3
129,3,3,4,3,2,1,3,2,1,1,3,3,1,1,1,4,1,4,3,5,4,5,5,2,3,1,3,2,2,2,2,3,2,5,4,4,3,4,2,2,2,2,4,3,4,3,2,2
130,4,4,3,2,2,1,4,3,4,5,4,4,1,1,1,,5,5,5,5,5,5,5,5,4,4,3,3,1,5,3,1,1,2,4,1,3,3,3,4,3,4,4,4,2,4,4,3
131,3,4,4,2,3,3,5,2,4,4,2,4,1,2,2,3,4,2,3,4,4,4,3,4,3,4,3,2,3,4,4,3,1,2,3,1,3,3,4,3,4,3,4,4,2,4,3,3
132,2,3,3,3,2,3,4,2,3,2,3,3,3,3,1,4,1,3,2,3,3,2,2,3,3,3,2,2,2,3,3,3,3,4,4,3,3,3,2,3,3,2,2,2,2,2,2,3
133,3,2,3,4,3,3,5,2,4,4,4,3,1,1,1,3,3,1,3,5,5,4,4,3,3,2,3,2,3,3,4,4,2,3,3,2,4,3,4,2,2,3,4,4,2,5,4,2
134,1,5,5,2,1,3,5,1,4,4,5,5,1,3,1,4,1,1,4,3,3,5,5,5,5,4,4,1,1,4,1,1,3,3,4,4,2,2,1,4,3,3,3,4,1,4,3,3
135,3,3,3,3,2,2,1,1,4,4,4,4,3,1,1,4,3,3,3,5,5,5,5,4,2,1,5,1,2,4,4,1,1,3,3,3,3,4,4,2,1,3,4,5,1,4,3,2
136,5,4,4,2,,1,2,1,5,5,4,3,3,3,3,3,3,2,3,4,4,4,4,3,3,2,3,4,2,4,4,2,4,3,3,3,3,3,5,1,4,4,5,5,5,4,4,1
137,2,3,3,3,2,1,4,1,4,4,4,3,2,2,2,5,3,4,4,5,5,5,5,3,4,4,4,3,3,3,3,3,4,4,4,4,4,3,5,1,2,4,5,5,5,5,5,1
138,4,3,3,3,4,1,3,2,2,4,3,4,3,3,3,5,5,4,4,5,5,5,5,5,3,3,5,5,3,4,4,3,4,4,4,5,3,2,4,1,2,4,5,5,3,3,4,2
139,4,1,4,4,3,2,3,2,2,2,2,2,1,2,2,3,3,1,2,5,5,5,4,2,2,3,4,4,3,2,2,4,4,4,4,2,4,3,3,2,2,4,3,3,4,3,4,4
140,1,5,5,1,1,3,5,1,4,5,5,5,3,2,2,5,4,4,4,4,4,4,4,5,5,5,4,3,3,5,5,1,1,4,3,4,1,1,3,3,3,3,3,3,3,3,3,3
141,3,2,2,2,5,4,2,2,2,2,2,3,1,1,1,4,3,3,3,4,5,3,4,3,4,2,2,3,3,2,3,2,2,3,4,2,3,3,3,2,,3,3,4,2,4,3,2
142,1,5,5,1,4,1,3,3,2,3,3,2,1,3,3,2,3,1,2,5,5,2,3,2,2,3,2,4,3,3,3,3,4,5,5,5,5,4,4,2,2,4,4,4,4,4,3,2
143,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,2,3,3,2,3,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,4,3,3,5,4,4,4,3,3,3,3,4,3
144,4,1,1,4,3,1,4,2,2,2,2,2,3,4,4,4,4,3,4,4,4,2,3,1,1,1,1,1,5,1,2,5,4,5,5,5,5,4,3,1,1,3,3,3,3,3,3,1
145,4,4,4,4,4,2,3,3,5,5,5,5,3,1,1,2,3,3,1,5,5,5,5,5,3,4,5,3,3,3,2,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
146,1,5,5,1,2,2,5,1,5,5,5,5,5,5,5,3,4,2,1,5,5,4,5,5,5,5,5,5,4,5,5,1,1,3,2,1,1,1,3,1,1,4,3,5,2,4,3,2
147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,1,4,4,3,2
148,4,1,3,4,4,1,2,2,2,2,2,4,3,3,3,4,4,4,4,5,5,5,5,2,2,2,2,2,4,1,1,4,4,4,4,5,4,4,2,2,2,3,3,4,2,3,2,3
149,2,4,4,1,4,5,4,1,4,4,4,3,3,3,3,3,3,4,4,5,5,5,5,4,4,4,4,5,2,3,3,3,1,5,5,5,3,4,1,1,3,2,4,2,5,3,1,1
150,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
151,4,3,3,4,3,2,3,2,3,3,3,3,3,3,3,4,2,3,2,4,4,3,4,2,3,3,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
152,1,5,3,3,3,3,3,3,3,3,3,3,1,1,1,4,4,1,4,4,4,4,4,3,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
153,4,2,3,3,4,2,2,3,3,3,3,3,3,4,3,4,4,4,4,5,4,4,4,4,3,4,4,3,3,3,4,4,3,3,5,5,4,4,4,2,2,4,5,3,3,4,4,2
154,2,5,5,2,5,1,3,3,3,4,3,3,3,4,4,5,5,4,4,5,5,5,5,2,4,3,2,1,2,3,4,2,3,4,4,5,3,4,5,1,1,5,5,5,5,5,5,1
155,2,5,5,1,3,1,2,3,4,4,3,4,4,4,5,5,5,5,5,5,5,4,4,4,4,2,4,4,4,4,4,2,2,2,2,3,3,3,5,2,2,2,5,5,5,5,5,5
156,1,5,3,1,4,1,3,1,5,5,5,5,1,2,1,5,5,3,3,3,5,5,5,4,5,5,3,5,3,5,5,1,1,2,3,4,2,2,2,2,2,2,2,2,2,3,3,3
157,3,3,4,4,3,2,5,1,3,4,4,3,1,3,3,4,5,3,4,5,5,5,5,5,4,3,4,4,3,3,5,3,4,3,3,2,3,3,5,2,2,4,4,3,3,5,5,2
158,3,4,3,2,3,3,4,2,2,3,3,3,2,3,3,4,4,4,4,4,4,3,3,3,3,3,4,5,3,4,3,3,4,5,5,5,4,4,4,2,2,4,4,3,4,4,3,2
159,1,3,4,1,4,2,5,1,4,5,3,4,2,2,2,3,3,4,3,5,4,1,1,4,4,5,5,2,1,4,5,1,1,4,4,4,2,3,3,2,2,2,5,1,4,2,2,3
160,3,5,5,1,3,3,5,1,5,4,4,4,1,1,1,5,2,4,2,5,5,3,2,5,5,3,5,4,3,5,4,2,5,3,4,1,4,3,4,2,2,4,5,3,5,4,4,4
161,3,3,3,3,4,1,2,3,3,4,4,4,2,2,3,4,4,4,4,4,4,4,4,4,3,4,3,4,2,5,4,1,2,3,4,3,3,3,5,1,1,5,5,5,5,5,5,1
162,1,5,5,1,1,2,3,1,4,2,2,4,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,3,2,3,3,2,4,4,4,2,2,3,4,2,2,4,5,5,5,4,4,2
163,5,1,2,3,2,3,5,1,5,4,4,3,1,1,1,1,4,4,2,5,5,3,3,2,4,1,1,1,2,3,5,4,5,5,3,3,3,2,4,2,2,3,4,4,2,4,4,2
164,3,4,3,3,5,1,4,3,3,3,3,4,2,4,4,3,3,3,3,4,4,5,5,3,3,4,4,3,3,3,2,3,4,4,4,3,3,3,5,1,1,5,5,5,5,5,5,1
165,3,5,3,3,5,1,1,4,3,3,3,4,3,3,3,5,3,5,5,4,4,4,4,4,3,4,4,5,1,4,3,1,4,4,3,5,4,3,4,2,4,5,5,4,4,5,5,3
166,1,5,3,2,3,2,5,2,5,5,5,5,4,1,1,3,3,3,3,2,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3
167,3,3,4,4,3,1,2,2,3,4,4,4,2,2,2,3,3,3,3,4,4,3,3,3,3,2,2,3,4,3,2,2,3,4,4,4,4,4,3,2,4,4,4,4,4,4,4,2
168,2,4,3,3,4,1,3,2,3,3,2,3,1,1,1,1,1,1,1,4,4,3,3,2,3,3,3,3,4,3,2,2,3,3,5,3,3,1,4,2,4,4,3,3,4,3,3,3
169,4,3,3,4,4,2,5,1,5,4,4,3,2,2,2,1,1,1,2,5,5,5,5,5,4,5,5,5,4,4,4,4,5,4,4,4,4,4,5,2,2,4,4,3,3,4,4,2
170,3,3,4,2,2,2,5,1,4,4,3,3,1,1,1,4,4,3,3,4,5,4,4,3,4,2,2,2,3,3,4,3,2,4,3,4,3,3,4,2,2,3,4,3,3,4,3,2
171,5,1,1,5,4,1,4,2,3,1,3,2,3,2,2,5,5,4,4,4,4,4,4,3,1,3,2,5,4,1,1,5,4,5,5,5,5,5,4,1,1,4,5,4,3,4,4,1
172,4,1,2,4,3,2,4,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,1,1,2,2,2,4,2,2,4,1,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2
173,3,2,3,3,4,1,2,4,1,1,2,3,1,1,1,3,4,4,4,4,4,2,3,1,1,1,2,1,3,2,2,3,1,4,5,3,3,3,2,3,3,1,1,5,4,3,3,2
174,5,1,1,4,4,1,2,2,2,2,2,2,2,2,2,4,4,4,4,5,5,4,3,3,2,3,4,4,5,1,2,5,5,5,5,5,5,5,5,1,1,5,5,4,5,5,5,1
175,4,2,3,4,3,4,4,2,3,2,2,2,2,4,4,4,4,4,4,5,4,4,4,3,3,2,4,2,4,2,3,4,1,4,4,2,4,4,4,2,2,4,4,4,4,4,4,2
176,1,5,5,1,2,2,2,2,3,3,3,4,1,1,1,4,4,2,1,5,5,5,5,4,4,2,4,4,1,5,3,1,5,5,5,3,2,2,4,2,2,4,4,5,4,4,4,2
177,2,4,3,2,3,1,2,3,3,3,3,2,4,4,4,4,2,3,3,4,3,4,3,4,3,3,4,2,2,4,3,1,1,4,4,4,3,4,3,3,3,3,3,2,3,3,3,3
178,4,2,1,5,4,1,4,2,3,1,1,1,3,4,4,2,4,4,5,4,5,4,4,1,1,1,1,1,4,1,2,5,4,5,5,5,5,4,4,4,4,3,5,4,4,3,4,4
179,2,4,4,2,3,3,5,1,5,5,5,4,1,3,3,5,4,3,3,4,4,3,4,5,4,4,5,4,3,4,4,1,3,4,5,3,2,2,3,2,2,3,3,4,2,4,2,3
180,1,3,1,4,5,1,5,5,1,1,1,1,5,1,1,5,1,5,1,5,5,2,5,1,1,1,1,1,5,1,1,4,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1
181,2,3,3,3,4,1,1,3,3,3,2,2,3,3,4,1,1,1,1,5,5,4,2,2,3,1,2,2,4,3,2,4,4,4,4,5,4,4,3,1,1,3,5,3,5,3,3,3