RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,S1_1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,L1_8,L1_9,L1_10,L1_11,L1_12,L1_13,L1_14,L1_15,L1_16,L1_17,L1_18,L1_19,L1_20,SC1_1,SC1_2,SC1_3,SC1_4,SC1_5,SC1_6,SC1_7,SC1_8,SC1_9,SC1_10,SC1_11,SC1_12,SC1_13,SC1_14,SC1_15,SC1_16,SC1_17,SC1_18,SC1_19,SC1_20,S2_1,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6,L2_7,L2_8,L2_9,L2_10,L2_11,L2_12,L2_13,L2_14,L2_15,L2_16,L2_17,L2_18,L2_19,L2_20,SC2_1,SC2_2,SC2_3,SC2_4,SC2_5,SC2_6,SC2_7,SC2_8,SC2_9,SC2_10,SC2_11,SC2_12,SC2_13,SC2_14,SC2_15,SC2_16,SC2_17,SC2_18,SC2_19,SC2_20
141,Indirect,18,1,2,1,3,4,3,3,3,3,4,3,4,4,3,3,3,3,2,4,4,3,3,4,4,5,4,2,5,5,4,5,5,3,5,4,5,2,5,4,5,1,3,5,1,4,4,3,3,2,4,4,2,2,4,4,2,2,2,3,4,2,3,3,3,3,5,5,2,5,5,2,3,4,2,5,2,5,2,5,2,5,1,2,5,2
142,Control,18,1,2,1,5,3,3,4,4,4,4,1,4,3,4,2,NA,3,3,2,4,3,2,3,4,1,5,1,3,5,2,3,1,4,5,4,6,1,4,2,5,2,1,6,2,4,4,3,2,4,4,3,1,3,3,4,2,1,2,2,3,4,4,3,4,4,2,5,1,4,5,1,2,3,2,5,3,5,6,4,3,5,1,1,5,2
143,Direct,20,2,2,1,2,1,1,1,2,4,3,1,1,3,4,1,2,2,1,2,3,1,1,4,2,2,3,1,5,6,2,2,5,1,4,3,4,4,4,2,5,1,1,3,2,2,2,1,1,2,3,3,1,2,3,4,2,4,2,2,3,4,2,2,4,4,4,4,3,4,4,1,2,4,1,5,1,4,4,4,2,4,2,2,3,1
144,Indirect,21,4,2,1,4,3,3,3,3,2,3,2,2,4,3,3,2,2,2,3,4,1,3,2,3,6,5,4,5,3,1,4,6,2,5,3,5,4,3,1,5,1,2,4,1,4,4,2,1,2,3,4,1,3,4,4,2,2,1,2,4,4,1,2,4,4,6,6,2,5,6,1,2,6,2,6,2,5,1,4,1,6,1,1,4,1
145,Control,20,2,1,1,5,3,3,3,4,3,3,4,2,2,2,2,4,3,3,3,2,4,4,3,3,1,5,5,2,4,2,4,4,2,4,4,5,1,5,4,5,2,4,3,1,5,3,3,3,3,3,3,4,2,2,3,2,3,4,2,4,3,4,3,3,3,1,4,4,2,4,4,4,5,2,5,4,6,5,5,4,3,2,5,2,3
146,Direct,30,2,1,1,2,4,1,1,1,4,3,1,2,2,3,2,1,4,1,4,2,3,2,4,4,4,2,2,4,4,3,1,3,2,2,3,4,3,2,3,4,2,2,5,2,1,3,1,1,1,3,3,1,2,3,3,2,2,3,2,4,3,4,2,4,4,4,4,2,4,2,2,2,3,2,3,2,4,2,3,2,4,2,2,5,2
147,Indirect,21,2,2,1,2,4,3,1,2,4,4,2,3,3,4,2,1,3,1,4,3,3,2,4,4,2,4,2,4,6,4,3,4,3,4,2,6,2,2,5,5,4,2,4,2,2,3,2,2,3,4,3,2,2,3,3,2,1,2,2,4,3,2,2,4,4,3,5,3,5,5,2,3,4,2,5,2,5,3,4,2,5,2,3,4,2
148,Control,18,1,2,1,5,1,4,4,4,3,2,4,4,3,2,3,4,4,4,2,1,2,4,2,2,3,3,4,5,3,4,4,3,4,3,4,4,3,2,5,4,4,4,3,4,4,3,4,4,4,3,3,4,3,4,2,3,4,4,3,2,3,1,4,3,2,5,4,4,5,4,4,4,4,4,4,4,4,3,3,4,5,3,4,3,3
149,Direct,19,2,2,2,2,4,1,1,2,4,4,1,2,4,4,1,1,1,1,4,4,2,1,4,4,4,4,2,5,6,1,1,5,1,5,2,5,2,5,1,5,1,2,5,1,1,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,2,1,4,4,4,4,1,5,6,1,1,5,1,5,2,5,2,5,1,5,1,2,6,1
150,Indirect,23,4,2,1,3,3,2,3,3,3,3,3,2,3,2,2,2,3,3,2,1,3,3,4,3,2,4,3,2,4,2,2,4,2,4,4,4,2,5,4,4,5,2,5,1,2,3,2,2,3,3,3,2,2,3,3,2,2,3,2,3,1,3,2,3,4,2,4,3,3,2,2,4,4,2,4,2,5,3,4,3,5,4,3,4,1
151,Control,18,1,2,2,3,4,2,2,2,4,4,1,2,3,4,2,1,2,2,4,3,1,2,4,4,4,4,2,5,5,3,2,4,2,5,3,5,2,4,2,5,2,2,5,2,3,3,1,1,2,4,3,1,2,4,3,1,1,2,1,4,4,2,2,4,4,4,4,5,5,5,2,2,5,2,5,2,4,2,4,2,5,1,2,5,2
152,Direct,19,2,2,1,4,3,3,1,2,4,4,2,1,4,4,1,2,2,1,3,4,2,2,4,4,3,4,2,5,5,2,1,4,1,6,1,5,4,5,2,6,1,3,6,1,3,4,2,1,2,4,4,1,1,4,4,1,1,2,1,2,4,1,2,4,4,3,5,2,5,5,1,2,4,1,6,2,4,4,6,1,5,1,1,5,1
153,Indirect,19,2,2,1,3,4,2,2,2,4,3,1,2,3,3,2,2,3,1,4,4,2,2,4,4,5,4,2,5,5,2,2,5,1,6,2,6,1,5,2,6,1,2,5,2,2,3,1,1,2,4,3,1,2,3,3,1,2,2,1,4,4,2,2,4,4,6,5,2,6,5,1,1,5,2,5,3,5,2,5,2,6,1,1,5,1
154,Control,23,3,1,1,2,4,2,3,3,4,4,2,2,4,4,1,1,2,1,3,2,1,2,4,4,5,4,2,5,5,2,2,5,1,4,2,5,1,5,2,5,2,2,5,1,2,4,2,2,2,4,4,2,2,4,4,2,1,2,2,3,3,1,2,3,3,5,4,2,5,4,2,2,4,1,5,2,5,2,4,2,5,1,2,5,2
155,Direct,18,1,1,1,2,3,2,2,4,3,3,2,2,3,3,3,1,2,3,3,3,4,2,4,4,1,4,1,3,5,2,3,5,3,6,2,6,1,5,2,5,3,2,6,2,1,3,2,2,3,3,3,1,2,3,3,2,1,2,3,3,4,4,2,4,4,2,4,1,3,5,2,3,5,2,NA,2,5,2,5,3,4,3,3,5,2
156,Indirect,21,4,1,2,4,3,3,2,3,3,2,2,3,2,3,2,2,2,1,3,3,4,4,3,3,1,4,2,2,4,2,3,3,2,4,3,5,2,4,3,5,3,2,5,3,4,3,3,2,3,3,3,2,2,3,2,2,1,2,2,3,3,3,3,3,4,4,4,2,4,4,3,4,4,3,5,3,5,5,5,4,5,2,4,6,3
157,Control,18,1,2,1,5,2,4,3,4,2,2,2,2,3,2,3,2,4,3,2,2,4,4,2,2,3,2,5,4,2,4,4,3,4,3,4,3,5,3,4,3,5,5,2,5,5,2,4,4,4,2,2,3,3,2,2,3,3,3,3,2,3,4,4,4,2,3,3,4,3,3,4,5,3,4,2,4,4,3,3,4,3,5,4,2,4
158,Direct,20,3,2,1,4,3,2,2,3,3,3,4,4,3,3,3,3,4,2,3,2,4,3,3,3,2,2,2,3,3,2,5,6,5,4,4,5,3,3,4,5,2,3,5,2,2,2,2,2,3,4,3,2,3,4,3,3,3,3,2,4,2,4,3,3,3,2,4,2,4,4,2,3,NA,5,5,3,4,2,4,3,5,2,2,5,2
159,Indirect,18,1,2,1,3,2,4,3,3,2,2,3,4,3,3,4,3,4,2,2,2,4,3,2,3,3,3,5,4,2,2,4,2,3,4,3,3,4,5,2,3,3,4,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,3,5,2,5,4,2,2,4,3,4,2,3,3,4,5,2,4,3,5,2,3
160,Control,23,4,2,1,4,3,2,1,2,3,3,2,1,3,3,2,3,3,2,3,3,4,2,4,4,4,5,2,3,4,2,2,4,2,5,4,5,2,3,2,4,5,3,4,2,3,3,1,1,3,3,3,2,3,3,3,2,2,3,3,4,3,4,3,4,3,4,4,2,4,5,2,3,5,4,5,4,5,3,5,4,4,4,2,4,2
161,Direct,18,1,1,1,3,3,2,2,2,4,4,2,1,4,4,1,1,1,1,3,4,4,3,4,4,1,4,1,2,5,2,2,4,2,6,2,5,2,5,1,3,2,2,6,1,2,3,2,1,1,4,3,2,1,3,3,2,1,1,2,4,4,4,2,4,4,2,3,1,3,6,2,2,4,2,6,2,5,1,6,1,4,1,2,6,1
162,Indirect,19,2,2,1,3,3,3,2,3,3,3,3,3,4,3,3,3,4,2,3,3,3,4,4,4,4,5,4,3,4,3,3,4,4,4,3,4,5,4,4,5,3,4,3,2,1,3,3,2,3,4,3,2,3,4,3,3,3,3,2,3,3,3,3,4,3,5,5,4,3,4,4,4,5,3,4,4,4,5,5,4,5,3,4,3,2
163,Control,18,1,2,1,4,2,3,2,3,3,2,4,4,2,2,4,3,4,4,2,1,2,4,2,3,5,6,5,6,2,6,4,2,3,3,5,2,5,4,6,3,6,5,2,3,3,2,3,3,3,2,3,2,3,2,2,3,3,4,4,3,1,1,4,2,3,6,3,4,6,2,5,3,2,5,1,4,2,5,3,5,4,6,3,3,3
164,Direct,20,3,2,1,5,3,2,1,2,3,3,1,2,4,3,3,2,1,1,4,3,2,2,4,4,3,4,2,4,4,1,2,3,2,4,2,5,2,4,3,5,1,1,4,1,2,4,1,1,1,3,3,1,2,4,3,2,2,1,1,4,3,2,3,4,4,3,4,2,5,6,1,4,4,2,5,3,5,2,5,1,6,1,1,6,1
165,Indirect,18,1,2,1,4,4,2,2,2,4,4,1,2,3,4,3,2,3,2,3,3,3,2,4,4,4,4,2,5,5,2,2,4,2,5,2,5,2,5,3,5,1,2,6,1,3,4,1,1,2,4,4,1,2,3,4,2,2,2,2,4,3,3,2,4,4,5,5,2,5,5,2,1,4,1,5,1,5,2,5,1,5,1,2,6,1
166,Control,19,1,2,1,4,4,3,2,2,4,4,1,1,2,4,2,1,1,3,4,3,4,3,4,4,2,1,4,3,5,1,2,3,2,5,2,5,1,5,3,4,1,2,5,1,5,3,3,2,2,4,3,2,2,2,3,3,2,2,2,3,3,4,2,4,4,2,5,1,2,5,2,2,3,2,5,1,5,1,5,2,5,1,2,5,1
167,Direct,19,1,2,1,3,3,2,2,2,4,3,2,3,4,3,2,2,2,2,3,3,2,3,4,4,4,4,2,5,5,3,2,5,2,5,2,5,3,6,2,6,1,1,5,1,2,4,2,2,2,4,3,1,3,4,4,2,2,2,2,4,3,2,2,4,4,5,4,2,5,5,2,1,5,1,5,1,4,4,5,3,5,1,1,5,1
168,Indirect,18,1,2,1,4,4,2,2,3,4,4,2,2,4,4,2,1,2,3,4,4,2,2,4,4,5,5,1,5,6,2,1,5,1,4,1,5,5,5,3,4,1,1,6,1,1,4,1,1,3,4,4,1,1,4,4,1,1,1,2,4,4,1,1,4,4,6,3.5,1,6,6,3,1,6,1,6,1,6,1,6,3,5,1,1,6,1
169,Control,19,1,2,1,3,3,4,3,3,3,3,1,2,2,NA,2,2,3,4,2,3,4,3,4,3,4,5,1,2,5,3,4,1,6,5,5,4,3,3,4,4,5,4,6,2,3,3,3,3,4,3,3,3,2,2,3,3,3,3,4,2,3,4,3,3,3,3,5,1,2,4,2,3,2,5,5,5,4,5,3,4,4,5,4,6,4
170,Direct,19,2,2,1,3,2,3,2,3,3,3,1,2,3,3,3,3,2,3,3,3,3,3,4,4,1,3,2,5,5,2,2,4,2,5,3,5,2,5,2,5,2,3,5,1,1,2,2,1,2,4,4,2,2,4,4,2,2,2,2,3,3,3,2,4,4,2,2,1,5,5,2,2,5,4,5,2,5,1,5,2,5,2,2,5,1
171,Indirect,24,4,1,1,2,4,3,2,2,1,2,3,3,1,2,2,3,3,2,3,3,4,2,4,4,1,5,2,2,4,1,4,3,4,4,5,4,3,6,2,5,6,3,4,2,1,4,3,1,3,2,2,1,3,1,3,2,3,3,3,4,2,4,3,4,4,2,5,2,3,4,2,4,4,3,3,4,3,3,6,2,4,6,5,4,3
172,Control,19,2,2,1,3,3,4,3,3,3,3,2,3,2,2,3,2,3,2,2,3,4,4,3,3,2,3,3,2,2,3,4,3,4,4,4,5,3,3,5,4,4,3,4,3,4,3,3,2,3,3,3,2,3,2,3,2,2,3,2,2,3,4,3,3,3,2,4,3,2,4,4,4,3,4,5,4,5,4,4,5,5,4,3,4,2
173,Direct,19,1,2,1,2,4,2,1,2,4,4,1,2,4,4,2,2,2,3,4,4,3,3,4,4,4,5,3,5,5,2,2,5,3,5,2,5,2,5,2,6,2,2,6,2,1,4,2,1,2,4,4,1,2,4,4,2,2,2,2,4,4,3,2,4,4,4,5,2,5,5,2,2,5,2,6,2,5,2,5,2,5,2,2,6,2
174,Indirect,19,1,1,1,4,3,3,2,3,4,3,2,3,4,3,3,3,2,3,4,3,2,3,4,4,5,5,1,4,5,2,2,4,3,4,3,4,2,5,3,5,2,2,5,2,4,3,3,3,4,4,3,3,3,3,3,3,2,3,3,4,3,3,3,4,4,5,4,2,4,3,3,2,3,4,3,3,4,2,5,3,4,2,2,5,2
175,Control,19,1,1,1,4,3,2,3,3,4,4,NA,2,4,3,3,3,2,3,2,2,3,4,3,2,4,4,4,2,5,4,5,3,4,3,4,5,3,5,3,5,3,3,6,2,4,3,3,3,3,4,3,3,2,4,3,4,3,3,4,2,2,3,3,2,2,4,4,3,4,3,4,4,2,4,3,4,5,3,5,4,4,3,4,5,3
176,Direct,18,1,2,1,1,3,2,2,3,4,3,3,1,3,3,2,2,3,2,3,2,3,3,3,4,3,4,1,5,5,2,4,5,2,4,3,5,1,4,2,4,1,2,5,1,1,3,3,2,3,4,3,2,2,3,3,3,2,3,2,3,3,3,2,3,3,4,3,2,5,4,2,3,5,1,3,2,5,3,5,2,5,1,2,5,2
177,Indirect,19,2,2,1,2,4,2,1,2,4,4,1,3,4,4,2,2,2,2,4,4,3,2,4,4,5,4,1,5,5,2,1,4,2,6,1,5,1,6,1,5,2,2,6,1,2,4,1,1,1,4,4,1,1,4,4,2,1,1,1,4,4,3,1,4,4,5,4,1,4,6,4,1,5,1,6,1,6,1,6,1,6,1,1,6,1
178,Control,21,4,2,1,4,3,2,1,2,4,3,1,2,3,4,2,1,2,2,4,3,3,2,4,4,1,3,1,4,5,4,2,2,4,4,3,5,1,4,4,3,6,3,6,1,2,3,2,1,2,4,4,1,2,3,4,2,1,2,2,4,4,3,2,4,4,3,2,1,3,5,3,2,2,4,5,2,5,2,5,2,4,5,2,6,2
179,Direct,21,3,2,1,4,4,1,1,2,4,4,1,2,3,4,2,1,2,2,4,4,3,2,4,4,4,4,1,4,6,2,3,5,2,5,2,6,2,5,2,5,1,2,6,1,2,4,1,1,2,4,4,2,1,4,4,2,1,2,1,3,4,3,2,4,4,5,5,1,5,6,2,2,5,2,5,2,5,2,5,2,5,2,2,6,1
180,Indirect,21,3,1,1,4,3,2,2,3,2,3,3,2,3,3,3,2,3,3,3,3,2,2,3,3,3,4,4,4,4,2,3,5,3,4,2,5,3,5,2,5,2,2,3,3,3,3,2,2,3,3,3,2,2,3,3,2,2,2,3,3,3,2,2,3,3,4,4,4,4,4,2,3,4,3,4,3,5,2,5,4,5,2,3,3,3
181,Control,19,2,2,1,3,3,2,1,2,4,4,3,3,4,4,2,2,3,1,4,4,2,2,3,4,5,5,1,6,6,2,2,6,2,5,2,5,2,5,2,6,1,2,5,1,2,4,1,2,2,4,4,2,2,4,4,1,1,2,2,4,4,2,2,4,4,6,5,2,5,6,2,2,6,1,6,1,5,2,6,2,6,1,2,6,1
182,Direct,19,2,2,1,4,3,2,1,2,4,3,2,1,3,3,2,2,1,1,4,4,3,2,4,4,4,3,2,4,6,3,3,4,2,5,2,6,2,6,3,5,2,2,5,2,2,3,2,2,2,4,3,2,2,3,4,2,2,2,2,3,4,3,2,4,4,5,3,2,4,6,3,2,5,2,5,2,5,3,6,3,5,2,2,6,2
183,Indirect,25,5,1,1,2,3,2,1,2,3,3,1,1,4,4,2,1,1,2,4,4,4,2,4,4,2,5,1,4,5,1,2,5,2,6,1,5,2,5,1,6,3,1,6,1,2,3,2,1,3,4,3,1,1,3,4,2,1,1,2,4,4,3,2,4,4,2,5,1,4,6,1,1,5,2,6,1,5,1,6,1,6,4,1,6,1
184,Control,21,4,1,1,4,3,2,2,2,3,3,2,3,3,3,3,2,4,2,3,3,3,3,3,4,3,5,2,2,2,3,2,4,3,5,3,5,3,4,2,5,5,3,5,3,4,3,3,2,3,3,2,2,3,3,3,4,2,4,2,3,3,3,3,4,4,2,5,2,2,3,3,2,3,4,5,3,4,3,4,3,5,5,3,5,2
185,Direct,20,2,1,1,3,3,3,3,2,4,3,2,2,4,3,2,2,2,2,3,3,2,3,4,3,5,5,2,4,5,2,2,5,2,4,2,5,2,5,3,5,2,2,5,2,2,4,2,2,2,4,4,2,2,4,4,2,2,2,2,4,4,2,3,4,4,5,5,2,5,5,2,2,5,2,5,2,5,2,5,2,5,2,2,6,2
186,Indirect,19,2,2,2,4,4,2,3,2,4,3,1,3,4,3,1,2,3,2,3,3,1,2,3,2,5,5,1,5,6,1,1,3,1,6,2,5,2,5,2,5,1,2,6,2,2,4,1,2,3,4,4,1,2,4,3,1,1,1,1,4,4,2,1,4,3,6,6,1,6,6,1,1,4,1,6,1,6,1,6,2,6,1,1,6,1
187,Control,22,4,2,1,3,3,3,1,2,2,3,1,2,3,2,2,2,3,1,4,2,3,2,4,4,2,3,3,2,3,4,4,4,3,5,3,5,2,4,3,4,2,4,3,2,2,2,3,1,3,2,2,2,2,3,3,2,2,2,3,2,2,3,2,4,4,3,3,3,3,3,4,4,5,3,4,3,4,4,4,3,4,3,4,3,3
188,Direct,20,4,2,1,4,2,4,4,4,2,3,4,3,2,2,3,4,4,3,2,1,4,3,2,1,1,1,2,1,2,6,6,1,6,2,6,1,5,1,6,1,6,5,4,5,2,3,3,3,4,3,4,3,2,3,3,2,3,3,3,4,3,3,4,3,3,4,4,3,5,4,5,4,4,4,2,3,4,3,2,3,5,4,4,5,4
189,Indirect,21,4,1,1,3,4,2,1,2,4,4,2,3,3,3,2,1,2,1,3,3,4,2,4,4,2,4,1,4,5,2,1,5,1,5,2,5,2,5,2,5,2,2,6,1,1,4,1,1,2,4,4,3,2,4,3,2,1,2,1,4,3,3,2,4,4,4,4,1,5,4,2,1,5,2,5,2,5,1,5,2,5,3,2,6,2
190,Control,18,1,2,1,3,3,1,1,2,4,3,2,2,3,4,2,1,1,3,4,4,3,2,3,4,3,4,2,4,6,2,2,3,2,5,3,5,2,5,2,5,2,2,5,2,2,3,2,1,2,4,3,2,3,3,3,2,1,1,2,3,3,3,2,4,4,3,5,2,4,5,2,2,4,1,5,2,5,2,5,2,5,1,2,6,2
191,Direct,22,4,1,1,4,3,3,2,2,3,3,2,2,3,4,2,1,2,2,4,3,3,3,4,4,4,4,2,4,5,2,1,4,2,6,2,4,4,4,3,5,3,2,6,4,2,3,2,1,2,4,3,2,2,3,4,3,1,2,2,4,3,3,2,4,4,4,5,2,4,6,2,2,4,2,6,2,4,3,4,2,5,1,2,5,3
192,Indirect,18,1,2,1,4,4,3,2,3,3,3,2,2,4,3,2,2,2,3,4,3,2,2,3,3,5,4,2,5,5,2,3,4,4,4,2,6,3,5,2,5,2,3,5,2,3,3,2,2,2,3,3,1,2,4,3,2,1,2,2,3,3,2,3,3,3,5,4,2,4,5,3,2,4,1,5,4,5,1,4,3,5,2,5,5,5
193,Control,21,3,1,1,4,3,3,2,2,2,3,2,2,3,3,2,1,3,2,4,3,4,3,4,4,4,4,1,3,4,2,2,4,2,5,2,5,2,4,2,5,3,2,5,2,3,3,2,1,2,3,3,2,2,3,3,3,2,2,1,4,4,3,3,4,4,5,5,2,5,5,2,2,5,2,6,1,5,2,4,2,5,2,1,6,1
194,Direct,23,4,1,1,4,4,3,2,3,3,4,2,2,3,4,2,1,1,3,4,4,3,2,4,4,4,5,1,5,5,2,1,5,1,6,1,5,1,5,1,6,2,2,6,1,2,3,2,1,2,3,4,1,1,3,4,2,1,1,2,4,4,3,2,4,4,4,5,1,5,6,2,1,4,1,6,1,5,2,5,1,6,2,1,6,1
195,Indirect,22,3,1,1,4,3,2,2,3,4,3,1,2,3,3,3,1,1,2,3,3,2,2,4,4,4,4,2,4,5,2,2,4,2,5,2,4,2,4,3,5,2,2,6,2,4,3,2,2,3,4,3,1,2,3,3,3,2,2,3,2,3,3,3,3,3,4,4,2,4,5,2,2,4,2,5,2,4,2,5,3,5,2,2,6,2
196,Control,24,5,1,1,4,3,2,2,2,4,3,2,2,3,3,2,1,2,1,4,3,2,2,4,4,3,3,1,5,5,3,2,4,1,4,1,5,2,4,3,5,1,2,6,2,4,2,2,2,2,4,3,2,3,3,3,2,1,2,1,3,3,1,2,3,3,4,1,5,3,3,2,2,3,1,4,1,3,2,4,1,2,1,1,5,2
197,Direct,19,2,2,1,2,3,2,2,2,4,3,1,2,3,4,2,2,2,2,3,4,3,3,4,4,2,5,1,3,6,2,2,5,2,5,2,5,2,6,2,5,1,2,6,1,1,4,2,2,2,4,4,2,1,3,4,2,2,2,2,3,3,3,2,4,4,3,5,1,4,6,2,2,5,1,5,1,5,2,6,2,5,1,1,6,2
198,Indirect,20,2,2,2,2,4,2,1,2,4,4,2,3,4,4,3,2,3,3,3,3,2,3,4,4,4,4,3,5,5,3,3,4,3,4,3,5,5,5,2,6,2,3,5,1,3,3,3,2,3,4,3,2,3,4,3,2,2,3,2,4,3,3,2,4,4,5,4,3,5,4,3,3,2,5,5,3,5,5,5,3,5,3,3,6,2
199,Control,19,2,2,3,3,4,2,1,2,4,3,1,1,4,4,3,2,1,2,3,4,3,2,4,4,2,4,1,4,5,2,2,4,2,5,2,6,5,3,2,5,1,1,6,2,3,3,2,1,2,4,4,1,2,4,4,3,2,1,2,3,4,3,2,4,4,2,4,1,4,5,2,1,4,2,5,1,6,2,4,1,5,1,1,6,1
200,Direct,22,1,2,2,3,4,2,2,3,1,2,3,4,4,3,3,2,2,4,2,3,1,3,3,3,6,4,3,6,5,2,3,1,4,5,5,6,2,3,4,6,6,3,3,5,3,2,3,2,2,2,2,3,4,4,2,4,3,3,4,2,2,1,3,3,3,6,3,3,6,NA,4,4,1,4,4,5,4,3,2,3,4,5,5,3,6
201,Indirect,28,5,1,1,3,3,2,3,2,NA,2,2,3,2,3,3,3,4,4,3,3,3,3,3,4,3,6,3,3,5,4,4,4,4,3,4,4,4,3,3,4,4,4,3,4,1,3,3,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,2,4,4,4,3,3,3,4,4,3,4,4,4,4
202,Control,21,3,2,1,3,4,2,2,3,3,3,2,2,3,3,2,2,2,2,4,4,3,3,4,4,4,5,2,4,4,2,3,4,5,2,3,4,3,5,3,5,2,3,6,3,3,3,3,2,2,4,3,2,2,3,3,2,2,2,2,2,3,3,3,4,4,4,4,2,4,4,2,2,4,2,5,2,4,2,4,2,4,3,3,5,2
203,Direct,19,1,2,1,2,3,1,1,2,4,2,1,3,2,2,1,1,3,1,4,2,1,1,2,2,3,4,2,5,4,2,3,4,3,3,5,5,3,2,2,4,3,4,3,3,1,3,1,1,2,3,3,1,2,3,2,1,2,2,1,4,2,1,2,3,3,3,4,3,5,3,3,3,3,3,4,2,2,4,1,3,2,2,2,3,3
204,Indirect,20,2,1,1,4,3,4,3,4,2,2,3,4,2,2,3,2,3,4,1,2,4,3,2,2,2,4,5,1,2,3,6,2,5,2,5,2,5,1,6,3,6,5,2,4,4,2,3,3,4,2,2,4,3,2,2,3,3,4,3,3,2,4,3,2,2,2,3,5,1,2,4,5,3,6,2,5,3,5,2,5,2,6,5,2,3
205,Control,18,1,2,2,4,3,2,1,2,4,3,2,3,3,3,2,3,3,2,4,3,2,2,4,4,3,3,3,4,2,3,2,4,2,4,3,4,2,2,5,4,6,3,3,2,2,3,2,1,2,4,3,2,2,3,3,2,3,3,3,4,4,2,3,4,4,4,4,3,4,4,3,3,4,3,4,4,4,4,3,4,4,3,4,3,3
206,Direct,19,2,2,1,4,3,1,1,1,4,4,1,2,3,4,2,2,2,1,4,3,4,2,4,4,4,5,2,4,5,1,2,4,1,5,2,5,2,4,1,5,1,2,5,1,3,4,1,1,2,4,4,1,2,4,4,1,1,2,1,4,4,3,2,4,4,5,5,2,4,5,1,1,4,1,5,1,4,1,5,1,5,1,1,5,1
207,Indirect,20,2,1,1,3,3,2,3,2,4,2,3,2,3,3,2,3,3,3,3,2,3,4,3,3,2,3,3,4,4,3,2,4,2,3,3,4,3,5,3,4,2,2,5,4,2,3,2,2,2,3,3,2,2,3,3,2,2,3,2,3,2,3,3,3,3,2,4,2,4,4,3,3,4,3,4,3,4,3,5,3,4,2,2,5,3
208,Control,19,2,2,1,4,4,3,1,3,4,4,2,2,2,4,2,1,1,2,3,4,4,2,4,4,2,4,1,3,6,2,1,4,4,6,2,4,3,2,2,3,2,2,6,2,5,3,3,1,2,4,3,1,3,2,4,2,1,1,2,3,4,3,2,4,4,1,5,1,3,5,2,1,4,3,6,2,4,3,4,2,5,3,2,6,3
209,Direct,19,2,1,1,1,4,1,1,2,4,4,1,1,4,4,2,1,1,1,4,4,2,1,4,4,5,5,1,4,NA,2,1,5,2,5,2,5,2,5,1,5,1,2,5,2,1,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,2,1,4,4,5,5,2,5,5,2,2,5,2,5,2,5,2,5,1,5,2,2,6,2
210,Indirect,19,2,1,1,2,4,1,2,2,3,4,3,1,3,3,NA,1,1,3,4,4,1,4,4,4,5,5,1,5,6,2,2,4,2,5,2,4,4,5,2,6,1,1,6,1,4,3,1,1,2,3,4,2,1,3,3,1,2,1,2,3,4,1,4,4,4,6,5,1,6,5,1,1,5,1,6,1,5,5,6,1,6,1,1,6,1
211,Control,18,1,2,2,5,3,3,1,2,3,3,1,3,4,3,3,2,3,3,4,2,2,4,4,4,4,3,2,5,6,5,3,4,1,4,3,4,3,5,2,6,1,3,5,3,4,3,3,1,2,3,3,2,2,4,3,2,2,3,2,4,3,2,3,4,4,5,4,2,5,4,2,4,5,2,3,3,4,3,5,3,5,1,3,4,1
